-107 0 1 3 4 10
-91 2 3 5 6 10
-69 0 2 7 8 10
-56 1 5 7 9 10
-52 4 6 8 9 10
-11 3 4 6 7 11
2 1 3 5 8 11
6 0 2 7 8 11
17 1 2 4 9 11
25 0 5 6 9 11
33 1 3 4 10 11
37 1 3 5 10 11
41 3 4 6 10 11
43 3 5 6 10 11
47 1 4 9 10 11
49 1 5 9 10 11
51 4 6 9 10 11
52 5 6 9 10 11
92 2 4 5 7 12
96 0 1 6 7 12
106 1 3 5 8 12
118 0 2 3 9 12
-128 4 6 8 9 12
-118 0 1 3 10 12
-116 0 2 3 10 12
-111 1 3 5 10 12
-110 2 3 5 10 12
-106 0 1 7 10 12
-104 0 2 7 10 12
-102 1 5 7 10 12
-101 2 5 7 10 12
-88 0 2 7 11 12
-86 2 4 7 11 12
-84 0 6 7 11 12
-83 4 6 7 11 12
-79 0 2 9 11 12
-77 2 4 9 11 12
-75 0 6 9 11 12
-74 4 6 9 11 12
-54 0 1 3 4 13
-29 2 4 5 7 13
-19 1 2 6 8 13
-6 0 5 6 9 13
2 3 7 8 9 13
10 2 5 6 10 13
14 2 5 7 10 13
18 2 6 8 10 13
20 2 7 8 10 13
24 5 6 9 10 13
26 5 7 9 10 13
28 6 8 9 10 13
29 7 8 9 10 13
39 1 2 4 11 13
41 1 3 4 11 13
46 2 4 7 11 13
47 3 4 7 11 13
51 1 2 8 11 13
53 1 3 8 11 13
55 2 7 8 11 13
56 3 7 8 11 13
64 0 1 3 12 13
68 0 1 6 12 13
72 1 3 8 12 13
74 1 6 8 12 13
78 0 3 9 12 13
80 0 6 9 12 13
82 3 8 9 12 13
83 6 8 9 12 13
118 2 3 5 6 14
127 0 1 6 7 14
-118 0 4 5 8 14
-105 1 2 4 9 14
-97 3 7 8 9 14
-89 0 1 4 10 14
-85 0 1 7 10 14
-81 0 4 8 10 14
-79 0 7 8 10 14
-75 1 4 9 10 14
-73 1 7 9 10 14
-71 4 8 9 10 14
-70 7 8 9 10 14
-59 0 5 6 11 14
-58 3 5 6 11 14
-53 0 6 7 11 14
-52 3 6 7 11 14
-47 0 5 8 11 14
-46 3 5 8 11 14
-44 0 7 8 11 14
-43 3 7 8 11 14
-33 2 3 5 12 14
-31 2 4 5 12 14
-26 3 5 8 12 14
-25 4 5 8 12 14
-21 2 3 9 12 14
-19 2 4 9 12 14
-17 3 8 9 12 14
-16 4 8 9 12 14
-6 0 1 4 13 14
-4 1 2 4 13 14
1 0 4 5 13 14
2 2 4 5 13 14
6 0 1 6 13 14
8 1 2 6 13 14
10 0 5 6 13 14
11 2 5 6 13 14
51 3 4 6 7 15
64 0 4 5 8 15
68 1 2 6 8 15
79 0 2 3 9 15
87 1 5 7 9 15
95 0 2 3 10 15
99 0 3 4 10 15
103 2 3 6 10 15
105 3 4 6 10 15
109 0 2 8 10 15
111 0 4 8 10 15
113 2 6 8 10 15
114 4 6 8 10 15
-128 0 2 8 11 15
-127 1 2 8 11 15
-125 0 5 8 11 15
-124 1 5 8 11 15
-119 0 2 9 11 15
-118 1 2 9 11 15
-116 0 5 9 11 15
-115 1 5 9 11 15
-101 1 5 7 12 15
-100 4 5 7 12 15
-98 1 6 7 12 15
-97 4 6 7 12 15
-92 1 5 8 12 15
-91 4 5 8 12 15
-89 1 6 8 12 15
-88 4 6 8 12 15
-80 0 3 4 13 15
-76 0 4 5 13 15
-72 3 4 7 13 15
-70 4 5 7 13 15
-66 0 3 9 13 15
-64 0 5 9 13 15
-62 3 7 9 13 15
-61 5 7 9 13 15
-51 1 2 6 14 15
-49 2 3 6 14 15
-44 1 6 7 14 15
-43 3 6 7 14 15
-39 1 2 9 14 15
-37 2 3 9 14 15
-35 1 7 9 14 15
-34 3 7 9 14 15
