105
5 -1
8 9
10 11
14 15
16 17
18 19
24 31
25 28
26 27
29 30
34 35
36 37
38 39
40 41
42 43
49 50
51 52
53 56
54 55
57 58
62 63
71 74
72 73
75 76
77 78
79 80
86 87
91 92
98 101
99 100
102 103
106 107
110 111
113 114
118 119
123 124
132 133
134 135
136 137
142 143
150 151
156 157
166 167
175 176
188 189
208 211
209 210
212 213
214 215
220 221
225 226
233 234
246 247
264 265
282 283
311 312
313 314
315 316
321 322
323 324
331 332
336 337
354 355
367 368
385 386
412 413
441 442
443 444
445 446
449 450
459 460
465 466
474 475
484 485
497 498
515 516
542 543
569 570
598 599
600 601
602 603
604 605
610 611
618 619
631 632
641 642
654 655
672 673
699 700
726 727
753 754
782 785
783 784
786 787
790 791
794 795
799 800
807 808
820 821
838 839
856 857
883 884
910 911
937 938
964 965
