2 0 1
4 0 2
5 1 2
7 0 3
8 1 3
10 2 3
13 0 4
14 1 4
16 2 4
18 3 4
23 0 5
24 1 5
25 2 5
26 3 5
29 4 5
33 0 6
34 1 6
36 2 6
38 3 6
40 4 6
42 5 6
48 0 7
49 1 7
51 2 7
53 3 7
54 4 7
57 5 7
62 6 7
70 0 8
71 1 8
72 2 8
75 3 8
77 4 8
79 5 8
86 6 8
91 7 8
97 0 9
98 1 9
99 2 9
102 3 9
106 4 9
110 5 9
113 6 9
118 7 9
123 8 9
-125 0 10
-124 1 10
-122 2 10
-120 3 10
-114 4 10
-106 5 10
-100 6 10
-90 7 10
-81 8 10
-68 9 10
-49 0 11
-48 1 11
-47 2 11
-44 3 11
-42 4 11
-36 5 11
-31 6 11
-23 7 11
-10 8 11
8 9 11
26 10 11
54 0 12
55 1 12
57 2 12
59 3 12
65 4 12
67 5 12
75 6 12
80 7 12
98 8 12
111 9 12
-127 10 12
-100 11 12
-72 0 13
-71 1 13
-69 2 13
-67 3 13
-63 4 13
-53 5 13
-47 6 13
-38 7 13
-28 8 13
-15 9 13
3 10 13
30 11 13
57 12 13
85 0 14
86 1 14
88 2 14
90 3 14
92 4 14
98 5 14
106 6 14
119 7 14
-127 8 14
-114 9 14
-96 10 14
-69 11 14
-42 12 14
-15 13 14
13 0 15
14 1 15
15 2 15
18 3 15
22 4 15
26 5 15
31 6 15
39 7 15
52 8 15
70 9 15
88 10 15
115 11 15
-114 12 15
-87 13 15
-60 14 15
