9 0 1 3
11 0 2 3
15 0 1 4
17 1 2 4
19 0 3 4
20 1 3 4
27 1 3 5
28 2 3 5
30 0 4 5
31 2 4 5
35 0 1 6
37 1 2 6
39 2 3 6
41 3 4 6
43 0 5 6
44 2 5 6
45 3 5 6
50 0 1 7
52 0 2 7
55 2 4 7
56 3 4 7
58 1 5 7
59 2 5 7
60 4 5 7
63 0 6 7
64 1 6 7
66 3 6 7
67 4 6 7
73 0 2 8
74 1 2 8
76 1 3 8
78 0 4 8
80 0 5 8
81 1 5 8
82 3 5 8
84 4 5 8
87 1 6 8
88 2 6 8
90 4 6 8
92 0 7 8
93 2 7 8
95 3 7 8
100 0 2 9
101 1 2 9
103 0 3 9
104 2 3 9
107 1 4 9
108 2 4 9
111 0 5 9
112 1 5 9
114 0 6 9
115 4 6 9
116 5 6 9
119 1 7 9
120 3 7 9
121 5 7 9
124 3 8 9
125 4 8 9
126 6 8 9
-128 7 8 9
-123 0 1 10
-121 0 2 10
-119 0 3 10
-118 1 3 10
-116 2 3 10
-113 0 4 10
-112 1 4 10
-110 3 4 10
-105 1 5 10
-104 2 5 10
-103 3 5 10
-99 2 6 10
-98 3 6 10
-96 4 6 10
-94 5 6 10
-89 0 7 10
-88 1 7 10
-86 2 7 10
-84 5 7 10
-80 0 8 10
-79 2 8 10
-77 4 8 10
-75 6 8 10
-72 7 8 10
-67 1 9 10
-66 4 9 10
-64 5 9 10
-62 6 9 10
-59 7 9 10
-55 8 9 10
-46 0 2 11
-45 1 2 11
-43 1 3 11
-41 1 4 11
-40 2 4 11
-38 3 4 11
-35 0 5 11
-34 1 5 11
-33 3 5 11
-30 0 6 11
-29 3 6 11
-28 4 6 11
-26 5 6 11
-22 0 7 11
-21 2 7 11
-19 3 7 11
-18 4 7 11
-15 6 7 11
-9 0 8 11
-8 1 8 11
-7 2 8 11
-4 3 8 11
-2 5 8 11
3 7 8 11
9 0 9 11
10 1 9 11
11 2 9 11
14 4 9 11
18 5 9 11
21 6 9 11
27 1 10 11
28 3 10 11
30 4 10 11
34 5 10 11
38 6 10 11
44 9 10 11
56 0 1 12
58 0 2 12
60 0 3 12
61 1 3 12
63 2 3 12
66 2 4 12
68 1 5 12
69 2 5 12
70 3 5 12
73 4 5 12
76 0 6 12
77 1 6 12
79 4 6 12
81 0 7 12
82 1 7 12
84 2 7 12
86 4 7 12
88 5 7 12
93 6 7 12
99 1 8 12
100 3 8 12
102 4 8 12
103 5 8 12
108 6 8 12
112 0 9 12
113 2 9 12
115 3 9 12
119 4 9 12
121 6 9 12
124 8 9 12
-126 0 10 12
-125 1 10 12
-123 2 10 12
-121 3 10 12
-115 5 10 12
-109 7 10 12
-99 0 11 12
-98 2 11 12
-96 4 11 12
-94 6 11 12
-91 7 11 12
-82 9 11 12
-70 0 1 13
-68 1 2 13
-66 0 3 13
-65 1 3 13
-62 0 4 13
-61 1 4 13
-59 2 4 13
-57 3 4 13
-52 0 5 13
-51 2 5 13
-50 4 5 13
-46 0 6 13
-45 1 6 13
-43 2 6 13
-41 5 6 13
-37 2 7 13
-36 3 7 13
-35 4 7 13
-32 5 7 13
-27 1 8 13
-26 2 8 13
-24 3 8 13
-22 6 8 13
-18 7 8 13
-14 0 9 13
-13 3 9 13
-11 5 9 13
-9 6 9 13
-5 7 9 13
-2 8 9 13
4 2 10 13
5 5 10 13
7 6 10 13
11 7 10 13
15 8 10 13
21 9 10 13
31 1 11 13
32 2 11 13
34 3 11 13
36 4 11 13
42 7 11 13
48 8 11 13
58 0 12 13
59 1 12 13
61 3 12 13
65 6 12 13
69 8 12 13
75 9 12 13
87 0 1 14
89 1 2 14
91 2 3 14
93 0 4 14
94 1 4 14
96 2 4 14
99 0 5 14
100 2 5 14
101 3 5 14
103 4 5 14
107 0 6 14
108 1 6 14
110 2 6 14
112 3 6 14
114 5 6 14
120 0 7 14
121 1 7 14
123 3 7 14
124 6 7 14
-126 0 8 14
-125 3 8 14
-124 4 8 14
-122 5 8 14
-117 7 8 14
-113 1 9 14
-112 2 9 14
-110 3 9 14
-108 4 9 14
-104 7 9 14
-101 8 9 14
-95 0 10 14
-94 1 10 14
-92 4 10 14
-88 7 10 14
-84 8 10 14
-78 9 10 14
-68 0 11 14
-67 3 11 14
-66 5 11 14
-63 6 11 14
-57 7 11 14
-51 8 11 14
-41 2 12 14
-40 3 12 14
-38 4 12 14
-36 5 12 14
-30 8 12 14
-24 9 12 14
-14 0 13 14
-13 1 13 14
-11 2 13 14
-9 4 13 14
-3 5 13 14
3 6 13 14
16 0 2 15
17 1 2 15
19 0 3 15
20 2 3 15
23 0 4 15
24 3 4 15
27 0 5 15
28 1 5 15
29 4 5 15
32 1 6 15
33 2 6 15
35 3 6 15
37 4 6 15
40 1 7 15
41 3 7 15
42 4 7 15
44 5 7 15
47 6 7 15
53 0 8 15
54 1 8 15
55 2 8 15
58 4 8 15
60 5 8 15
65 6 8 15
71 0 9 15
72 1 9 15
73 2 9 15
76 3 9 15
80 5 9 15
83 7 9 15
89 0 10 15
90 2 10 15
92 3 10 15
96 4 10 15
100 6 10 15
106 8 10 15
116 0 11 15
117 1 11 15
118 2 11 15
121 5 11 15
124 8 11 15
-123 9 11 15
-113 1 12 15
-112 4 12 15
-111 5 12 15
-108 6 12 15
-105 7 12 15
-96 8 12 15
-86 0 13 15
-85 3 13 15
-83 4 13 15
-79 5 13 15
-75 7 13 15
-69 9 13 15
-59 1 14 15
-58 2 14 15
-56 3 14 15
-54 6 14 15
-48 7 14 15
-42 9 14 15
