0 0 1
0 0 3
0 0 6
0 0 12
0 0 22
0 0 32
0 0 47
2 135 784 857 858
2 137 787 857 860
2 143 791 857 864
2 157 801 858 868
2 176 821 857 874
2 210 211 784 785 884 885
2 210 784 884 886
2 221 795 884 889
2 247 821 884 892
2 265 839 884 901
2 324 329 796 797 911 912
2 324 796 911 913
2 333 800 911 916
2 338 808 911 919
2 355 822 911 928
2 446 787 938 939
2 450 791 938 941
2 460 795 938 945
2 476 809 939 949
2 498 839 938 955
2 601 785 965 966
2 603 788 966 968
2 620 800 965 970
2 633 808 965 976
2 655 840 965 982
3 21 139 145 147 148
3 46 155 159 163 164
3 94 171 178 185 186
3 122 173 193 198 199
3 127 183 195 202 203
3 68 229 240 243 244
3 83 224 253 256 257
3 94 236 250 260 261
3 109 217 269 271 272
3 117 148 154 161 164 191 193 195 196 219 224 229 231 232 271 275 276 278 279
3 117 231 275 278 280
3 148 219 285 287 288
3 154 224 285 291 292
3 161 229 288 295 296
3 164 232 292 295 298
3 191 271 287 301 302
3 193 276 291 301 304
3 195 279 296 302 306
3 139 141 154 155 169 171 173 174 318 320 327 328 339 341 345 346
3 61 330 343 346 347
3 65 334 339 350 351
3 83 327 357 360 361
3 105 320 370 372 373
3 236 239 242 244 268 272 278 279 341 343 350 353 370 376 378 379
3 127 366 379 382 383
3 139 318 388 392 393
3 141 320 390 392 395
3 154 155 327 328 393 395 398 399
3 154 327 393 398 400
3 169 339 388 404 405
3 171 341 390 404 407
3 173 345 398 405 409
3 236 239 242 244 341 343 350 353 415 417 419 420
3 236 341 415 422 423
3 239 343 417 423 425
3 242 350 419 422 427
3 268 370 415 431 432
3 272 376 417 432 434
3 278 378 419 431 436
3 21 448 452 456 457
3 61 464 478 481 482
3 89 470 487 491 492
3 217 219 239 240 251 253 261 263 454 457 478 479 487 489 495 496
3 117 472 502 504 505
3 129 163 174 182 186 196 199 203 205 318 334 357 365 372 378 381 383 448 468 473 481 489 491 492 495 496 500 504 505 508 509
3 129 163 174 182 186 196 199 203 205 473 481 492 495 496 505 508 509 511 512
3 129 496 508 511 513
3 163 473 518 520 521
3 174 481 518 524 525
3 182 492 520 528 529
3 186 495 524 528 531
3 196 505 521 534 535
3 199 509 525 534 537
3 203 512 529 535 539
3 217 454 545 549 550
3 219 457 547 549 552
3 239 240 478 479 550 552 555 556
3 239 478 550 555 557
3 251 487 545 561 562
3 253 489 547 561 564
3 261 495 555 562 566
3 318 448 572 574 575
3 334 468 572 578 579
3 357 489 575 582 583
3 365 491 579 582 585
3 372 500 574 588 589
3 378 504 578 588 591
3 381 511 583 589 593
3 452 454 463 464 468 470 472 473 607 609 616 617 621 623 627 628
3 46 614 625 628 629
3 65 621 634 637 638
3 85 616 645 647 649
3 231 232 242 243 255 257 260 263 627 629 637 640 647 648 652 653
3 109 609 657 661 662
3 129 145 169 180 185 191 198 202 205 328 330 361 363 373 376 381 382 607 614 617 634 645 648 649 652 653 659 661 662 665 666
3 129 145 169 180 185 191 198 202 205 607 634 645 652 653 661 665 666 668 669
3 129 653 666 668 670
3 145 607 675 677 678
3 169 634 675 681 682
3 180 645 677 685 686
3 185 652 681 685 688
3 191 661 678 691 692
3 198 665 682 691 694
3 202 669 686 692 696
3 231 232 627 629 703 704 706 707
3 231 627 703 706 708
3 242 243 637 640 706 707 712 713
3 242 637 706 712 714
3 255 257 647 648 703 704 718 719
3 255 647 703 718 720
3 260 652 712 718 723
3 328 614 729 733 734
3 330 617 731 733 736
3 361 363 648 649 734 736 739 740
3 361 648 734 739 741
3 373 659 729 745 746
3 376 662 731 745 748
3 381 668 739 746 750
3 452 607 756 760 761
3 454 609 758 761 763
3 463 464 616 617 760 763 766 767
3 463 616 760 766 768
3 468 621 756 772 773
3 470 623 758 773 775
3 472 627 766 772 777
3 68 806 811 817 818
3 85 89 141 147 159 161 178 180 182 183 345 347 351 353 360 363 365 366 789 793 798 802 804 806 813 814 816 818 824 825 829 830
3 85 798 827 829 831
3 89 802 825 834 835
3 141 147 159 161 178 180 182 183 789 793 804 806 824 827 835 837
3 105 789 842 845 846
3 250 251 255 256 268 269 275 276 824 825 829 830 842 843 849 850
3 122 456 463 479 482 500 502 508 509 793 798 811 813 814 845 849 850 852 853
3 122 813 850 852 854
3 141 789 859 861 862
3 147 793 861 865 866
3 159 804 862 869 870
3 161 806 866 870 872
3 178 824 859 875 876
3 180 827 865 875 878
3 182 835 869 876 880
3 250 251 255 256 824 825 829 830 887 888 890 891
3 250 251 824 825 887 888 893 894
3 250 824 887 893 895
3 255 829 890 893 898
3 268 269 842 843 887 888 902 903
3 268 842 887 902 904
3 275 849 890 902 907
3 345 347 351 353 813 814 816 818 914 915 917 918
3 345 347 813 814 914 915 920 921
3 345 813 914 920 922
3 351 816 917 920 925
3 360 363 830 831 914 915 929 930
3 360 830 914 929 931
3 365 834 917 929 934
3 456 793 940 942 943
3 463 798 942 946 947
3 479 811 943 950 951
3 482 814 947 951 953
3 500 845 940 956 957
3 502 849 946 956 959
3 508 853 950 957 961
3 623 802 967 971 972
3 625 804 969 972 974
3 638 640 816 817 971 974 977 978
3 638 816 971 977 979
3 657 843 967 983 984
3 659 846 969 984 986
3 665 852 977 983 988
