841 0 1 3 4 10
825 2 3 5 6 10
803 0 2 7 8 10
790 1 5 7 9 10
786 4 6 8 9 10
745 3 4 6 7 11
732 1 3 5 8 11
728 0 2 7 8 11
717 1 2 4 9 11
709 0 5 6 9 11
701 1 3 4 10 11
697 1 3 5 10 11
693 3 4 6 10 11
691 3 5 6 10 11
687 1 4 9 10 11
685 1 5 9 10 11
683 4 6 9 10 11
682 5 6 9 10 11
642 2 4 5 7 12
638 0 1 6 7 12
628 1 3 5 8 12
616 0 2 3 9 12
606 4 6 8 9 12
596 0 1 3 10 12
594 0 2 3 10 12
589 1 3 5 10 12
588 2 3 5 10 12
584 0 1 7 10 12
582 0 2 7 10 12
580 1 5 7 10 12
579 2 5 7 10 12
566 0 2 7 11 12
564 2 4 7 11 12
562 0 6 7 11 12
561 4 6 7 11 12
557 0 2 9 11 12
555 2 4 9 11 12
553 0 6 9 11 12
552 4 6 9 11 12
532 0 1 3 4 13
507 2 4 5 7 13
497 1 2 6 8 13
484 0 5 6 9 13
476 3 7 8 9 13
468 2 5 6 10 13
464 2 5 7 10 13
460 2 6 8 10 13
458 2 7 8 10 13
454 5 6 9 10 13
452 5 7 9 10 13
450 6 8 9 10 13
449 7 8 9 10 13
439 1 2 4 11 13
437 1 3 4 11 13
432 2 4 7 11 13
431 3 4 7 11 13
427 1 2 8 11 13
425 1 3 8 11 13
423 2 7 8 11 13
422 3 7 8 11 13
414 0 1 3 12 13
410 0 1 6 12 13
406 1 3 8 12 13
404 1 6 8 12 13
400 0 3 9 12 13
398 0 6 9 12 13
396 3 8 9 12 13
395 6 8 9 12 13
360 2 3 5 6 14
351 0 1 6 7 14
340 0 4 5 8 14
327 1 2 4 9 14
319 3 7 8 9 14
311 0 1 4 10 14
307 0 1 7 10 14
303 0 4 8 10 14
301 0 7 8 10 14
297 1 4 9 10 14
295 1 7 9 10 14
293 4 8 9 10 14
292 7 8 9 10 14
281 0 5 6 11 14
280 3 5 6 11 14
275 0 6 7 11 14
274 3 6 7 11 14
269 0 5 8 11 14
268 3 5 8 11 14
266 0 7 8 11 14
265 3 7 8 11 14
255 2 3 5 12 14
253 2 4 5 12 14
248 3 5 8 12 14
247 4 5 8 12 14
243 2 3 9 12 14
241 2 4 9 12 14
239 3 8 9 12 14
238 4 8 9 12 14
228 0 1 4 13 14
226 1 2 4 13 14
221 0 4 5 13 14
220 2 4 5 13 14
216 0 1 6 13 14
214 1 2 6 13 14
212 0 5 6 13 14
211 2 5 6 13 14
171 3 4 6 7 15
158 0 4 5 8 15
154 1 2 6 8 15
143 0 2 3 9 15
135 1 5 7 9 15
127 0 2 3 10 15
123 0 3 4 10 15
119 2 3 6 10 15
117 3 4 6 10 15
113 0 2 8 10 15
111 0 4 8 10 15
109 2 6 8 10 15
108 4 6 8 10 15
94 0 2 8 11 15
93 1 2 8 11 15
91 0 5 8 11 15
90 1 5 8 11 15
85 0 2 9 11 15
84 1 2 9 11 15
82 0 5 9 11 15
81 1 5 9 11 15
67 1 5 7 12 15
66 4 5 7 12 15
64 1 6 7 12 15
63 4 6 7 12 15
58 1 5 8 12 15
57 4 5 8 12 15
55 1 6 8 12 15
54 4 6 8 12 15
46 0 3 4 13 15
42 0 4 5 13 15
38 3 4 7 13 15
36 4 5 7 13 15
32 0 3 9 13 15
30 0 5 9 13 15
28 3 7 9 13 15
27 5 7 9 13 15
17 1 2 6 14 15
15 2 3 6 14 15
10 1 6 7 14 15
9 3 6 7 14 15
5 1 2 9 14 15
3 2 3 9 14 15
1 1 7 9 14 15
0 3 7 9 14 15
