20 9 15 19 20
44 9 17 19 20 30 31 35 37 43 44
45 28 39 44 45
59 9 11 27 28 50 52 58 59
60 31 55 59 60
64 35 50 63 64
67 41 56 66 67
81 17 20 27 43 45 52 55 56 63 66 73 74 80 81
82 27 76 81 82
84 30 78 80 84
88 37 74 87 88
90 11 19 39 41 73 78 88 90
93 52 73 92 93
95 17 20 52 55 56 73 74 76 92 95
104 11 100 103 104
108 17 101 107 108
112 17 20 27 43 45 52 55 56 63 66 100 101 111 112
115 9 15 19 27 28 39 41 43 44 107 111 112 114 115
116 43 111 114 116
120 11 15 27 28 31 50 76 78 81 84 92 95 100 103 107 108 119 120
121 58 112 119 121
125 15 50 78 92 95 107 119 120 124 125
126 90 115 125 126
128 95 120 124 128
138 9 133 137 138
140 11 135 137 140
144 15 133 143 144
146 19 137 143 146
152 27 28 138 140 151 152
153 27 138 151 153
158 39 140 157 158
160 41 146 158 160
162 44 152 157 162
168 50 133 167 168
170 52 135 167 170
172 58 151 168 172
177 73 135 176 177
179 78 143 176 179
181 88 157 177 181
184 92 167 176 184
190 107 144 189 190
192 112 151 189 192
194 115 160 190 194
197 119 168 189 197
201 125 179 190 201
216 17 211 215 216
218 20 213 215 218
222 27 43 45 52 55 56 63 66 210 213 216 218 221 222
223 27 213 222 223
227 43 45 221 223 226 227
228 41 218 227 228
230 43 221 226 230
235 52 210 234 235
237 55 56 216 218 235 237
238 55 216 235 238
241 63 226 234 241
248 73 74 210 211 247 248
249 73 210 247 249
252 76 213 248 252
254 80 221 247 254
259 92 234 247 259
266 100 101 210 211 265 266
267 100 210 265 267
270 107 215 266 270
274 111 221 265 274
277 114 226 265 277
284 138 213 283 284
286 144 215 283 286
290 151 222 283 290
294 158 227 284 294
300 189 266 283 300
317 9 312 316 317
319 11 314 316 319
325 27 28 317 319 324 325
326 27 317 324 326
329 31 322 325 329
333 35 312 332 333
335 52 55 63 67 314 322 332 335
338 50 312 337 338
340 52 314 337 340
342 55 322 340 342
344 58 324 338 344
349 63 332 337 349
356 76 317 355 356
358 81 84 324 329 355 358
359 81 324 355 359
364 87 333 355 364
369 100 314 368 369
371 103 316 368 371
375 108 322 369 375
377 114 332 368 377
380 124 356 371 380
387 133 312 386 387
389 135 314 386 389
391 137 316 386 391
397 151 324 387 397
403 167 337 386 403
414 210 314 413 414
416 216 322 414 416
418 226 332 413 418
421 234 337 413 421
430 265 368 413 430
447 9 442 446 447
451 15 442 450 451
453 17 444 451 453
455 19 446 450 455
461 30 31 450 453 460 461
462 30 450 460 462
467 35 442 466 467
469 37 444 467 469
471 43 460 466 471
476 55 56 453 455 475 476
477 55 453 475 477
480 59 461 475 480
486 74 444 485 486
488 76 447 485 488
490 87 467 485 490
494 93 475 486 494
499 103 446 498 499
501 111 460 498 501
503 114 466 498 503
507 120 476 499 507
510 124 488 499 510
517 152 461 516 517
519 157 469 516 519
523 170 475 516 523
527 177 486 516 527
533 192 501 517 533
544 211 444 543 544
546 213 447 543 546
548 215 451 543 548
554 235 475 544 554
560 248 485 543 560
571 312 442 570 571
573 316 446 570 573
577 332 466 570 577
581 355 485 571 581
587 368 498 570 587
606 15 599 605 606
608 17 601 606 608
612 30 31 605 608 611 612
613 28 603 612 613
615 30 605 611 615
620 35 599 619 620
622 37 601 620 622
624 39 603 622 624
626 43 611 619 626
633 50 599 632 633
635 63 66 619 624 632 635
636 63 619 632 636
643 80 82 611 613 642 643
644 78 605 642 644
646 80 611 642 646
651 92 632 642 651
656 101 601 655 656
658 104 603 656 658
660 107 606 655 660
664 119 633 655 664
667 124 643 658 667
674 133 599 673 674
676 143 605 673 676
680 167 632 673 680
684 176 642 673 684
690 189 655 674 690
701 221 223 611 613 700 701
702 221 611 700 702
705 226 619 700 705
711 234 632 700 711
717 247 642 700 717
728 319 603 727 728
730 322 608 727 730
732 325 612 727 732
738 356 643 728 738
744 369 656 727 744
755 442 599 754 755
757 444 601 755 757
759 450 605 754 759
765 460 611 754 765
771 466 619 754 771
788 11 784 787 788
792 19 787 791 792
796 30 37 39 56 58 60 64 66 785 788 791 792 795 796
797 30 791 795 797
801 37 785 800 801
803 39 788 801 803
805 41 792 803 805
809 56 58 60 792 796 797 808 809
810 56 792 809 810
812 58 796 808 812
815 64 800 808 815
822 73 74 784 785 821 822
823 73 784 821 823
826 78 791 821 826
828 80 795 821 828
833 87 800 822 833
840 100 101 784 785 839 840
841 100 784 839 841
844 103 787 839 844
848 111 795 839 848
851 119 808 840 851
858 135 784 857 858
860 137 787 857 860
864 143 791 857 864
868 157 801 858 868
874 176 821 857 874
885 210 211 784 785 884 885
886 210 784 884 886
889 221 795 884 889
892 247 821 884 892
901 265 839 884 901
912 324 329 796 797 911 912
913 324 796 911 913
916 333 800 911 916
919 338 808 911 919
928 355 822 911 928
939 446 787 938 939
941 450 791 938 941
945 460 795 938 945
949 476 809 939 949
955 498 839 938 955
966 601 785 965 966
968 603 788 966 968
970 620 800 965 970
976 633 808 965 976
982 655 840 965 982
