8 2 7 8
10 4 7 10
14 2 13 14
16 5 14 16
18 7 13 18
24 8 10 13 16 23 24
25 8 10 24 25
26 8 24 26
29 13 23 29
34 2 33 34
36 5 34 36
38 10 36 38
40 18 38 40
42 23 33 42
49 2 48 49
51 4 48 51
53 16 18 51 53
54 16 51 54
57 24 49 57
62 33 48 62
71 4 5 70 71
72 4 70 72
75 8 71 75
77 13 70 77
79 23 70 79
86 34 71 86
91 48 70 91
98 4 5 97 98
99 4 97 99
102 7 97 102
106 14 98 106
110 23 97 110
113 33 97 113
118 49 98 118
123 75 102 123
132 2 131 132
134 4 131 134
136 7 131 136
142 13 131 142
150 24 132 150
156 36 134 156
166 48 131 166
175 70 131 175
188 98 132 188
208 4 5 207 208
209 4 207 209
212 8 208 212
214 14 208 214
220 23 207 220
225 33 207 225
233 48 207 233
246 70 207 246
264 97 207 264
282 132 208 282
311 2 310 311
313 4 310 313
315 7 310 315
321 16 313 321
323 24 311 323
331 33 310 331
336 48 310 336
354 71 311 354
367 97 310 367
385 131 310 385
412 207 310 412
441 2 440 441
443 5 441 443
445 7 440 445
449 13 440 449
459 23 440 459
465 33 440 465
474 51 443 474
484 71 441 484
497 97 440 497
515 134 443 515
542 208 441 542
569 310 440 569
598 2 597 598
600 5 598 600
602 10 600 602
604 13 597 604
610 23 597 610
618 33 597 618
631 48 597 631
641 70 597 641
654 98 598 654
672 131 597 672
699 207 597 699
726 313 600 726
753 440 597 753
782 4 5 781 782
783 4 781 783
786 7 781 786
790 13 781 790
794 23 781 794
799 34 782 799
807 49 782 807
820 70 781 820
838 97 781 838
856 131 781 856
883 207 781 883
910 311 782 910
937 440 781 937
964 598 782 964
