988 0 1
986 0 2
985 1 2
983 0 3
982 1 3
980 2 3
977 0 4
976 1 4
974 2 4
972 3 4
967 0 5
966 1 5
965 2 5
964 3 5
961 4 5
957 0 6
956 1 6
954 2 6
952 3 6
950 4 6
948 5 6
942 0 7
941 1 7
939 2 7
937 3 7
936 4 7
933 5 7
928 6 7
920 0 8
919 1 8
918 2 8
915 3 8
913 4 8
911 5 8
904 6 8
899 7 8
893 0 9
892 1 9
891 2 9
888 3 9
884 4 9
880 5 9
877 6 9
872 7 9
867 8 9
859 0 10
858 1 10
856 2 10
854 3 10
848 4 10
840 5 10
834 6 10
824 7 10
815 8 10
802 9 10
783 0 11
782 1 11
781 2 11
778 3 11
776 4 11
770 5 11
765 6 11
757 7 11
744 8 11
726 9 11
708 10 11
680 0 12
679 1 12
677 2 12
675 3 12
669 4 12
667 5 12
659 6 12
654 7 12
636 8 12
623 9 12
605 10 12
578 11 12
550 0 13
549 1 13
547 2 13
545 3 13
541 4 13
531 5 13
525 6 13
516 7 13
506 8 13
493 9 13
475 10 13
448 11 13
421 12 13
393 0 14
392 1 14
390 2 14
388 3 14
386 4 14
380 5 14
372 6 14
359 7 14
349 8 14
336 9 14
318 10 14
291 11 14
264 12 14
237 13 14
209 0 15
208 1 15
207 2 15
204 3 15
200 4 15
196 5 15
191 6 15
183 7 15
170 8 15
152 9 15
134 10 15
107 11 15
80 12 15
53 13 15
26 14 15
